stage,model_id,model_key,layer_index,normalized_depth,protocol,source_relations,target_relation,fold,auc,balanced_accuracy,n_train,n_test,n_iter
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,within_relation,P176,P176,1,0.9990817263544537,0.9848484848484849,134,66,18
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,within_relation,P176,P176,2,1.0,0.9848484848484849,134,66,20
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,within_relation,P138,P138,0,0.9809688581314879,0.9558823529411764,132,68,15
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,within_relation,P138,P138,1,0.9917355371900827,0.9393939393939394,134,66,16
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,within_relation,P138,P138,2,1.0,1.0,134,66,16
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,within_relation,P19,P19,0,0.8797577854671281,0.7941176470588235,132,68,44
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,within_relation,P19,P19,1,0.8824609733700642,0.8636363636363636,134,66,33
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,within_relation,P19,P19,2,0.8191000918273645,0.7272727272727273,134,66,52
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,within_relation,P103,P103,0,0.9809688581314879,0.9117647058823529,132,68,31
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,within_relation,P103,P103,1,0.975206611570248,0.9393939393939394,134,66,29
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,within_relation,P103,P103,2,0.9660238751147842,0.9242424242424243,134,66,27
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,within_relation,P101,P101,0,0.8226643598615916,0.8235294117647058,132,68,23
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,within_relation,P101,P101,1,0.8539944903581268,0.7575757575757576,134,66,27
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,within_relation,P101,P101,2,0.9044995408631772,0.8333333333333333,134,66,51
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,within_relation,P159,P159,0,0.9403114186851211,0.8970588235294117,132,68,36
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,within_relation,P159,P159,1,0.9669421487603305,0.8787878787878789,134,66,24
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,within_relation,P159,P159,2,0.9550045913682277,0.9090909090909092,134,66,24
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,within_relation,P176,P176,0,0.9965397923875432,0.9411764705882353,132,68,16
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,within_relation,P176,P176,1,0.9990817263544537,0.9848484848484849,134,66,20
1A,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,within_relation,P176,P176,2,1.0,1.0,134,66,19
